city,state,zip,phone,intake1,intake2,intake1a,intake2a,facility_name,address,type_of_care,service_setting,facility_type,pharmacotherapies,treatment_approaches,emergency_services,facility_operation,license_certification,payment_funding,payment_assistance,special_programs_groups,assessment_pretreatment,testing,recovery_support,education_counseling,smoking_policy,age_groups_accepted,language_services,vaping_policy,ancillary_services,all_services_list,assertive community treatment,assisted outpatient treatment,case management service,chronic disease,court-ordered outpatient treatment,diet and exercise counseling,education services,family psychoeducation,housing services,illness management,illness management and recovery,integrated primary care services,intensive case management,legal advocacy,mentoring,peer support,psychosocial rehabilitation services,suicide prevention services,supported employment,supported housing,therapeutic foster care,vocational rehabilitation services,cluster_label,tier_name,source_confidence,data_scope
Monroe Township,NJ,08831,609-395-7979,,732-777-1940,,,Jewish Fam Services of Middlesex County,1500 Perrineville Road Suite 26,Mental health treatment,Outpatient,Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Medicare, Private health insurance, Private or Community foundation, State-financed health insurance plan other than Medicaid",,Seniors or older adults,,,,,Smoking permitted without restriction,"Adults, Children / adolescents, Seniors, Young adults",,Vaping permitted without restriction,"Case management service, Family psychoeducation","['case management service', 'family psychoeducation']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Montclair,NJ,07042,973-783-6655,,,,,COPE Center Division of OAKS Integrated Care,73 South Fullerton Avenue,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,Antipsychotics used in treatment of serious mental illness,"Cognitive behavioral therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment",,Private non-profit organization,,"Cash or self-payment, Medicaid, Private health insurance, State corrections or juvenile justice funds",Sliding fee scale,"Clients with trauma, Persons with post-traumatic stress disorder, Young adults",Screening for tobacco use,,,Smoking / vaping / tobacco cessation counseling,Smoking permitted without restriction,Children / adolescents,,Vaping not permitted,"Case management service, Court-ordered outpatient treatment, Family psychoeducation","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation']",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Montclair,NJ,07042,973-509-9777,,,,,Mental Health Association of Essex and Morris Inc,33 South Fullerton Avenue,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions","Outpatient, Partial hospitalization / day treatment",Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Loxapine, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Prochlorperazine, Quetiapine, Risperidone, Thioridazine, Thiothixene, Trifluoperazine, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Cognitive remediation therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency onsite services",Private non-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Medicare, Other State funds, Private health insurance, State mental health agency funds",,"Active duty military, Children/adolescents with serious emotional disturbance, Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with Alzheimer's or dementia, Persons with eating disorders, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",,,"Housing services, Mentoring / peer support",,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Spanish,Vaping permitted in designated area,"Assisted Outpatient Treatment, Case management service, Court-ordered outpatient treatment, Education services, Family psychoeducation, Intensive case management, Psychosocial rehabilitation services, Suicide prevention services, Supported employment, Supported housing, Vocational rehabilitation services","['assisted outpatient treatment', 'case management service', 'court-ordered outpatient treatment', 'education services', 'family psychoeducation', 'intensive case management', 'psychosocial rehabilitation services', 'suicide prevention services', 'supported employment', 'supported housing', 'vocational rehabilitation services', 'housing services', 'mentoring', 'peer support']",0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,Comprehensive Support Hub,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Moorestown,NJ,08057,856-779-2300,888-437-1610,,,,Penn Medicine Princeton House Behavioral Health/Moorestown,351 New Albany Road,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Partial hospitalization / day treatment,Partial hospitalization / day treatment,Antipsychotics used in treatment of serious mental illness,"Activity therapy, Cognitive behavioral therapy, Dialectical behavior therapy, Group therapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance",,"Children/adolescents with serious emotional disturbance, Clients with co-occurring mental and substance use disorders, Clients with trauma, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Seniors or older adults, Young adults",Screening for tobacco use,,,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted in designated area,"Family psychoeducation, Illness management and recovery, Suicide prevention services","['family psychoeducation', 'illness management and recovery', 'suicide prevention services']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Morganville,NJ,07751,732-536-0050,,,,,Jewish Family and Childrens Services,25 Kilmer Drive Suite 212,Mental health treatment,Outpatient,Outpatient mental health facility,,"Cognitive behavioral therapy, Couples/family therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Private health insurance, Private or Community foundation",,,,,,,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",,Vaping not permitted,,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Essential Support Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Mount Holly,NJ,08060,609-386-7331,800-360-7711,,,,Delaware House Outpatient Program,25 Ikea Drive,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Iloperidone, Lurasidone, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Quetiapine, Risperidone, Thioridazine, Thiothixene, Trifluoperazine, Ziprasidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Medicare, Private health insurance, State corrections or juvenile justice funds, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid","Payment assistance available, Sliding fee scale","Clients with co-occurring mental and substance use disorders, Clients with trauma, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",,,Smoking permitted in designated area,"Adults, Seniors, Young adults",Spanish,Vaping permitted in designated area,"Case management service, Chronic disease / illness management, Court-ordered outpatient treatment, Diet and exercise counseling, Family psychoeducation, Legal advocacy, Psychosocial rehabilitation services, Suicide prevention services","['case management service', 'chronic disease', 'illness management', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'family psychoeducation', 'legal advocacy', 'psychosocial rehabilitation services', 'suicide prevention services']",0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,Specialized Chronic Care,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Mount Holly,NJ,08060,609-267-7000,800-603-6767,609-518-2100,,,Hampton Behavioral Health Center,650 Rancocas Road,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions","Hospital inpatient / 24-hour hospital inpatient, Partial hospitalization / day treatment",Psychiatric hospital,"Antipsychotics used in treatment of serious mental illness, Clozapine, Haloperidol, Nicotine replacement, Olanzapine, Olanzapine/Fluoxetine combination, Risperidone, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Electroconvulsive therapy, Group therapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency walk-in services",Private for-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid, U.S. Department of VA funds",,"Active duty military, Children/adolescents with serious emotional disturbance, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",,Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping not permitted,"Case management service, Diet and exercise counseling, Education services, Family psychoeducation, Suicide prevention services","['case management service', 'diet and exercise counseling', 'education services', 'family psychoeducation', 'suicide prevention services']",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Mount Holly,NJ,08060,609-261-3034,,,,,Legacy Treatment Services Karos House,,"Mental health treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,Residential treatment center for adults,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Brexpiprazole, Clozapine, Haloperidol, Olanzapine, Perphenazine, Pimozide, Prochlorperazine, Quetiapine, Risperidone, Thioridazine, Trifluoperazine, Ziprasidone","Activity therapy, Cognitive behavioral therapy, Group therapy, Telemedicine / telehealth therapy","Psychiatric emergency mobile/off-site services, Psychiatric emergency onsite services, Psychiatric emergency walk-in services",Private non-profit organization,Federally Qualified Health Center,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Private health insurance, State-financed health insurance plan other than Medicaid",,"Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",,,"Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Seniors, Young adults",,Vaping not permitted,"Assertive community treatment, Assisted Outpatient Treatment, Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Education services, Integrated primary care services, Psychosocial rehabilitation services, Suicide prevention services, Supported employment, Supported housing, Vocational rehabilitation services","['assertive community treatment', 'assisted outpatient treatment', 'case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'education services', 'integrated primary care services', 'psychosocial rehabilitation services', 'suicide prevention services', 'supported employment', 'supported housing', 'vocational rehabilitation services', 'housing services', 'mentoring', 'peer support']",1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,Comprehensive Support Hub,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Mount Holly,NJ,08060,609-267-1377,800-433-7365,,,,Legacy Treatment Services Mount Holly Outpatient Department,795 Woodlane Road Suite 301,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Clozapine, Haloperidol, Loxapine, Nicotine replacement, Quetiapine, Risperidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, Medicaid, Medicare, Private health insurance, State-financed health insurance plan other than Medicaid",Sliding fee scale,"Clients with co-occurring mental and substance use disorders, Persons 18 and older with serious mental illness",Screening for tobacco use,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted in designated area,"Family psychoeducation, Illness management and recovery, Suicide prevention services","['family psychoeducation', 'illness management and recovery', 'suicide prevention services', 'mentoring', 'peer support']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Mountainside,NJ,07092,908-731-7099 x504,,,,,Cooperative Counseling Services Headquarters,1139 Spruce Drive,Mental health treatment,Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Risperidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Individual psychotherapy, Telemedicine / telehealth therapy",,Private for-profit organization,,"Cash or self-payment, Medicaid, Private health insurance, State welfare or child and family services funds",,"Children/adolescents with serious emotional disturbance, Clients with trauma, LGBTQ, Persons with post-traumatic stress disorder, Seniors or older adults, Young adults",,,,,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",Spanish,Vaping not permitted,"Case management service, Family psychoeducation, Suicide prevention services","['case management service', 'family psychoeducation', 'suicide prevention services']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Neptune,NJ,07753,732-922-1042 x0,,,,,Monmouth Medical Center Early Intervention Support Services,3301 Highway 66 Building B,Mental health treatment,Outpatient,Outpatient mental health facility,Antipsychotics used in treatment of serious mental illness,"Couples/family therapy, Group therapy, Individual psychotherapy","Crisis intervention team, Psychiatric emergency onsite services, Psychiatric emergency walk-in services",Private non-profit organization,,"Cash or self-payment, Federal military insurance, Medicaid, Medicare, Other State funds, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid",Payment assistance available,"Active duty military, Clients with HIV or AIDS, Clients with trauma, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons with eating disorders, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans",,,Mentoring / peer support,,Smoking permitted without restriction,"Adults, Seniors, Young adults",Sign language services for the deaf and hard of hearing,Vaping permitted without restriction,"Case management service, Education services, Family psychoeducation, Suicide prevention services","['case management service', 'education services', 'family psychoeducation', 'suicide prevention services', 'mentoring', 'peer support']",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
New Brunswick,NJ,08901,732-354-4403,,,,,Middlesex County Peer Wellness Respite,,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,,,,"Crisis intervention team, Psychiatric emergency onsite services",Private non-profit organization,,"Medicaid, State mental health agency funds",Payment assistance available,,,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,Psychosocial rehabilitation services,"['psychosocial rehabilitation services', 'mentoring', 'peer support']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
New Brunswick,NJ,08901,732-235-6800,800-969-5300,,,,Rutgers/UBHC Specialized Addiction Treatment Servs,303 George Street 2nd Floor,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Certified Community Behavioral Health Clinic,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Lurasidone, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Pimozide, Quetiapine, Risperidone, Thiothixene, Ziprasidone","Abnormal involuntary movement scale, Cognitive behavioral therapy, Couples/family therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Federal military insurance, Medicaid, Medicare, Private health insurance, State mental health agency funds, State-financed health insurance plan other than Medicaid","Payment assistance available, Sliding fee scale","Active duty military, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans, Young adults",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring","Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults","Sign language services for the deaf and hard of hearing, Spanish",Vaping not permitted,"Case management service, Court-ordered outpatient treatment, Family psychoeducation, Illness management and recovery, Intensive case management, Psychosocial rehabilitation services, Suicide prevention services, Supported employment","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'illness management and recovery', 'intensive case management', 'psychosocial rehabilitation services', 'suicide prevention services', 'supported employment', 'housing services', 'mentoring', 'peer support']",0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,Comprehensive Support Hub,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07103,973-435-6666,,,,,All Health Services PC,186 West Market Street,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,,"Antipsychotics used in treatment of serious mental illness, Clozapine, Quetiapine, Ziprasidone","Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Other State funds, State welfare or child and family services funds",,Clients with co-occurring mental and substance use disorders,Screening for tobacco use,"Laboratory testing, TB screening",Housing services,,Smoking permitted without restriction,"Adults, Seniors, Young adults",,Vaping not permitted,"Case management service, Court-ordered outpatient treatment, Education services, Intensive case management, Psychosocial rehabilitation services","['case management service', 'court-ordered outpatient treatment', 'education services', 'intensive case management', 'psychosocial rehabilitation services', 'housing services']",0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07102,973-554-9960,973-521-2038,,,,Empath Psychiatry,8 Lombardy Street Suite 41105,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Asenapine, Chlorpromazine, Clozapine, Fluphenazine, Haloperidol, Loxapine, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Perphenazine, Pimozide, Quetiapine, Risperidone, Ziprasidone","Abnormal involuntary movement scale, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private for-profit organization,Mental health clinic or mental health center,"Cash or self-payment, Private health insurance",,"Active duty military, Children/adolescents with serious emotional disturbance, Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with Alzheimer's or dementia, Persons with eating disorders, Persons with post-traumatic stress disorder, Persons with traumatic brain injury, Seniors or older adults, Veterans, Young adults",Screening for tobacco use,"Laboratory testing, Metabolic syndrome monitoring",Mentoring / peer support,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",,Vaping not permitted,"Diet and exercise counseling, Education services, Family psychoeducation, Illness management and recovery, Suicide prevention services","['diet and exercise counseling', 'education services', 'family psychoeducation', 'illness management and recovery', 'suicide prevention services', 'mentoring', 'peer support']",0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07101,862-229-1401,,,,,Essex County Peer Wellness Respite,,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Residential / 24-hour residential,,,,"Crisis intervention team, Psychiatric emergency onsite services",Private non-profit organization,,"Medicaid, State mental health agency funds",Payment assistance available,,,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Seniors, Young adults",,Vaping permitted in designated area,Psychosocial rehabilitation services,"['psychosocial rehabilitation services', 'mentoring', 'peer support']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07103,973-412-2056,,,,,Family Service Bureau of Newark,274 South Orange Avenue 2nd Floor,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Risperidone","Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Cash or self-payment, County or local government funds, Medicaid, Other State funds, State welfare or child and family services funds",,"Active duty military, Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons with eating disorders, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans",Screening for tobacco use,,,Smoking / vaping / tobacco cessation counseling,Smoking not permitted,"Adults, Children / adolescents, Seniors, Young adults",Spanish,Vaping not permitted,"Case management service, Court-ordered outpatient treatment, Family psychoeducation, Suicide prevention services","['case management service', 'court-ordered outpatient treatment', 'family psychoeducation', 'suicide prevention services']",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Structured Clinical & Family Support,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07114,973-623-0600,,,,,Integrity Inc,1091 Broad Street,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Certified Community Behavioral Health Clinic,"Antipsychotics used in treatment of serious mental illness, Aripiprazole, Brexpiprazole, Cariprazine, Chlorpromazine, Clozapine, Haloperidol, Lurasidone, Nicotine replacement, Non-nicotine smoking/tobacco cessation, Olanzapine, Olanzapine/Fluoxetine combination, Paliperidone, Quetiapine, Risperidone, Ziprasidone","Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy","Crisis intervention team, Psychiatric emergency onsite services, Psychiatric emergency walk-in services",Private non-profit organization,Federally Qualified Health Center,"Cash or self-payment, Medicaid, Medicare, Private health insurance, State-financed health insurance plan other than Medicaid, U.S. Department of VA funds","Payment assistance available, Sliding fee scale","Active duty military, Clients with co-occurring mental and substance use disorders, Clients with intimate partner violence or domestic violence experience, Clients with trauma, Criminal justice / forensic clients, LGBTQ, Members of military families, Persons 18 and older with serious mental illness, Persons experiencing first-episode psychosis, Persons with Alzheimer's or dementia, Persons with post-traumatic stress disorder, Seniors or older adults, Veterans",Screening for tobacco use,"HIV testing, Laboratory testing, Metabolic syndrome monitoring, STD testing, TB screening, Testing for Hepatitis B, Testing for Hepatitis C","Housing services, Mentoring / peer support",Smoking / vaping / tobacco cessation counseling,Smoking permitted in designated area,"Adults, Children / adolescents, Seniors, Young adults",Spanish,Vaping permitted in designated area,"Case management service, Court-ordered outpatient treatment, Diet and exercise counseling, Education services, Family psychoeducation, Illness management and recovery, Integrated primary care services, Legal advocacy, Psychosocial rehabilitation services, Suicide prevention services, Supported housing","['case management service', 'court-ordered outpatient treatment', 'diet and exercise counseling', 'education services', 'family psychoeducation', 'illness management and recovery', 'integrated primary care services', 'legal advocacy', 'psychosocial rehabilitation services', 'suicide prevention services', 'supported housing', 'housing services', 'mentoring', 'peer support']",0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Comprehensive Support Hub,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
Newark,NJ,07103,973-483-3444,,,,,North Jersey Community Research Initiative,393 Central Avenue,"Mental health treatment, Substance use treatment, Treatment for co-occurring substance use plus mental health conditions",Outpatient,Outpatient mental health facility,Antipsychotics used in treatment of serious mental illness,"Cognitive behavioral therapy, Couples/family therapy, Dialectical behavior therapy, Group therapy, Individual psychotherapy, Integrated Mental and Substance Use Disorder treatment, Telemedicine / telehealth therapy",,Private non-profit organization,,"Community Mental Health Block Grants, Community Service Block Grants, County or local government funds, Medicaid, Medicare, Other State funds, Private health insurance, State corrections or juvenile justice funds, State education agency funds, State mental health agency funds, State welfare or child and family services funds, State-financed health insurance plan other than Medicaid, U.S. Department of VA funds","Payment assistance available, Sliding fee scale","Clients with HIV or AIDS, Clients with co-occurring mental and substance use disorders, Persons 18 and older with serious mental illness",,,Mentoring / peer support,,Smoking permitted in designated area,"Adults, Seniors, Young adults",Spanish,Vaping not permitted,"Case management service, Education services, Integrated primary care services","['case management service', 'education services', 'integrated primary care services', 'mentoring', 'peer support']",0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,Peer & Community-Led Services,SAMHSA National Mental Health Directory 2024; decoded services; derived K-Means tier,New Jersey processed extract for final prototype review
